,,PARTNER INFO,,,,,,,,📧 NEWSLETTER SPOTLIGHT,,,,📰 NEWSLETTER (GENERAL),,,,📱 SOCIAL POST,,,,WEBSITE SPOTLIGHT,,,,✉️ SEND OUR INFO (High Value),,🎪 EVENT SPONSORSHIP,,,,🤝 CO-PLANNED EVENT	,,NOTES
Chamber Name,Team,Owner,Support,Location,# Members,"Partner
Status","Engagement
Level","Primary
Contact",Primary Contact email,Available?,"Incl. in
Membership?","Cost if Not
Included",How to Initiate,Available?,"Incl. in
Membership?","Cost if Not
Included",How to Initiate,Available?,"Incl. in
Membership?","Cost if Not
Included",How to Initiate,Available?,"Incl. in
Membership?","Cost if Not
Included",How to Initiate,Available?,Notes / How to Initiate,Available?,"Incl. in
Membership?",Cost Range,How to Initiate,Available?,Notes / How to Initiate,"General Notes
& Next Steps"
Clermont Chamber of Commerce,BD,Astrid,,"Clermont County, OH",675,Signed,⭐⭐⭐ Average,Austin Heller,heller@clermontchamber.com,No,N/A,N/A,,Yes,No,"$50/wk, $150/mo, $2,500/yr",Purchase directly — e-newsletter ads: $50/wk or $150/mo (11K subscribers). Contact Austin.,No,N/A,N/A,,,,,,No,"Not established, but worth clarifying.",Yes,No,"$500–$2,000+",Contact Austin.,Yes,Talk to Austin.,
Greater Kansas City Chamber,BD,Astrid,,"Kansas City, MO","1,900",Signed,⭐⭐⭐ Average,Shannon Spiess,spiess@kcchamber.com,Unsure,,,Must get more info,Unsure,,,Must get more info,Unsure,,,Must get more info,,,,,Unsure,Must get more info,Yes,No,$500+,"Contact Shannon. Sponsored networking events (lunch, coffee). Panel discussions possible. Webinars.",Yes,Open to co-planned educational webinars and workshops. Contact Shannon.,
Greater Oklahoma City Chamber,BD,Astrid,,"Oklahoma City, OK","3,000",Engaged,⭐⭐⭐⭐ Above Avg,Derek Villanueva,dvillanueva@okcchamber.com,No,N/A,N/A,,Yes,Yes,Included,"Contact Derek — Newsletter (5,000 subscribers) included in membership",Yes,Yes,Included,Contact Derek — social media promotion included,,,,,No,Not set up for dedicated sends.,Yes,Some included,"$500–$2,000+",Contact Derek. Monthly networking + lunches + events.,Yes,Very open. Derek wants to co-plan AI for SMBs event. Contact Derek.,"$500/yr. Derek is collaborative. Vember had been discussing a May outdoor event with Derek as ideal timing, possibly AI for SMBs oriented."
Greater Omaha Chamber,BD,Astrid,,"Omaha, NE","3,000",Engaged,⭐⭐⭐ Average,Katrinka Dicke,kdicke@omahachamber.org,No,N/A,N/A,,Unsure,N/A,N/A,"We may be able to post member news via portal, get more info.",No,N/A,N/A,,,,,,No,,Yes,TBD,TBD,Contact Katrinka. ,Yes,Open to co-planning. Contact Katrinka.,"This is in an early stage relationship, needs follow up call / more info on how to activate."
Greater San Antonio Chamber,BD,Astrid,,"San Antonio, TX","1,500",Engaged,⭐⭐⭐⭐ Above Avg,Linda Wagoner,lwagoner@sachamber.org,Yes,Yes,Included,Contact Linda — newsletter included in membership,Yes,Yes,Included,Contact Linda — newsletter + social included,Yes,Yes,Included,"Contact Linda — LinkedIn, Instagram, social included",,,,,Unsure,"Not yet established, worth testing",Yes,Some included,"$500–$2,000+",Contact Linda. 60–70 events/yr (100–300 ppl). Annual gala ~800 ppl. $1K marketing credits included in our membership fee.,Yes,Open to event planning with us. Contact Linda.,Our membership included $250 sponsorship + $1K marketing credits. Many events per year.
Lincoln Chamber of Commerce,BD,Astrid,,"Lincoln, NE","1,300",Engaged,⭐⭐⭐⭐ Above Avg,Becca Fowler,bfowler@lcoc.com,Yes,Yes,Included,Contact Becca — member newsroom (40K monthly hits). Social reshare included.,Yes,Yes,Included,"Contact Becca — member newsroom posts pulled into newsletter; 6,500 email list",No,N/A,N/A,,,,,,No,,Yes,No,$500+,"Contact Becca. Networking events (40–250 ppl, SMBs). Signature events. Recommend sponsoring networking vs. signature events.",Yes,Open to custom events. Contact Becca.,"Relational town — build relationships first. Vember was working with Becca on an AI event, worth picking up and seeing what is possible."
Sacramento Hispanic Chamber,BD,Astrid,,"Sacramento, CA",500,Engaged,⭐⭐⭐⭐ Above Avg,Fabiola Aceves-Fonseca,fabiola@sachcc.org,Yes,Yes (up to 9/yr at Silver+),,Contact Fabiola — Silver: 4 features; Gold: 6; Platinum: 9 newsletter features,Yes,Yes,Included,Contact Fabiola — monthly newsletter included in all tiers,Yes,Yes,Contact Fabiola.,,,,,,Yes,Sent dedicated email blast (3/16) with tax readiness + growth fund. Very willing. Contact Fabiola.,Yes,Yes,$500+,Contact Fabiola. Monthly afternoon mixer (5-min presentation). Annual Tax Day event Fall 2026 should be planned.,Yes,Contact Fabiola.,"Very engaged partner. They are open to a Q2 workshop, contact to discuss."
San Jose Chamber,BD,Astrid,,"San Jose, CA",600,Signed,⭐⭐⭐ Average,Katie Savant,KatieS@sjchamber.com,No,N/A,N/A,,Yes,No,TBD per event,Contact Katie — newsletter features only come with event sponsorship. No standalone newsletter benefit.,No,No,TBD per event,Contact Katie — social features only come with event sponsorship. No standalone newsletter benefit.,,,,,No,,Yes,No,"$5,000+",Contact Katie.,No,Must plan events 6 months out. No co-planning without sponsorship.,
Santa Ana Chamber,BD,Astrid,,"Santa Ana, CA",400,Engaged,⭐⭐⭐⭐ Above Avg,Claudette John,cjohn@santaanachamber.com,Unsure,N/A,N/A,Must get more info,Yes,No,Varies,"Contact Claudette — no formal newsletter, but many email communications. Contact for ad hoc email inclusion.",No,N/A,N/A,,,,,,Unsure,worth testing,Yes,Yes (events),"$500–$1,000+",Contact Claudette — event sponsorship available.,Yes,Open to creative collab. Contact Claudette.,Open to including making Pilot a member benefit. No newsletter but lots of emails. Will share membership list with us.
